Date,Peak Count,Time of Peak
06/01/2025,5,11:00 AM
06/02/2025,10,11:00 AM
06/03/2025,6,11:00 AM
06/04/2025,5,3:00 PM
06/05/2025,6,12:00 PM
06/06/2025,11,1:00 PM
06/07/2025,9,1:00 PM
06/08/2025,6,2:00 PM
06/09/2025,12,12:00 PM
06/10/2025,13,11:00 AM
06/11/2025,15,1:00 PM
06/12/2025,15,1:00 PM
06/13/2025,12,12:00 PM
06/14/2025,12,5:00 PM
06/15/2025,12,12:00 PM
06/16/2025,15,12:00 PM
06/17/2025,17,3:00 PM
06/18/2025,21,4:00 PM
06/19/2025,29,11:00 AM
06/20/2025,30,10:00 AM
06/21/2025,28,10:00 AM
06/22/2025,27,4:00 PM
06/23/2025,32,12:00 PM
